file	endpoint	host	port	resolved_ip	ping_ms	nmap_open_udp
us-phx-wg-204.conf	23.234.89.127:51820	23.234.89.127	51820	23.234.89.127	202	-
us-phx-wg-205.conf	23.234.90.3:51820	23.234.90.3	51820	23.234.90.3	209	-
us-phx-wg-206.conf	23.234.90.127:51820	23.234.90.127	51820	23.234.90.127	266	-
us-phx-wg-207.conf	23.234.91.3:51820	23.234.91.3	51820	23.234.91.3	205	-
us-phx-wg-208.conf	23.234.91.127:51820	23.234.91.127	51820	23.234.91.127	279	-
us-qas-wg-001.conf	198.54.135.34:51820	198.54.135.34	51820	198.54.135.34	191	-
us-qas-wg-002.conf	198.54.135.66:51820	198.54.135.66	51820	198.54.135.66	190	-
us-qas-wg-003.conf	198.54.135.98:51820	198.54.135.98	51820	198.54.135.98	191	-
us-qas-wg-004.conf	198.54.135.130:51820	198.54.135.130	51820	198.54.135.130	163	-
us-qas-wg-101.conf	185.156.46.130:51820	185.156.46.130	51820	185.156.46.130	157	-
us-qas-wg-102.conf	185.156.46.143:51820	185.156.46.143	51820	185.156.46.143	149	-
us-qas-wg-103.conf	185.156.46.156:51820	185.156.46.156	51820	185.156.46.156	191	-
us-qas-wg-201.conf	103.81.230.3:51820	103.81.230.3	51820	103.81.230.3	191	-
us-qas-wg-202.conf	103.81.230.127:51820	103.81.230.127	51820	103.81.230.127	190	-
us-qas-wg-203.conf	103.81.231.3:51820	103.81.231.3	51820	103.81.231.3	192	-
us-qas-wg-204.conf	103.81.231.127:51820	103.81.231.127	51820	103.81.231.127	190	-
us-rag-wg-201.conf	23.234.76.2:51820	23.234.76.2	51820	23.234.76.2	191	-
us-rag-wg-202.conf	23.234.76.127:51820	23.234.76.127	51820	23.234.76.127	191	-
us-rag-wg-203.conf	23.234.77.2:51820	23.234.77.2	51820	23.234.77.2	191	-
us-rag-wg-204.conf	23.234.77.127:51820	23.234.77.127	51820	23.234.77.127	193	-
us-rag-wg-205.conf	23.234.78.2:51820	23.234.78.2	51820	23.234.78.2	190	-
us-rag-wg-206.conf	23.234.78.127:51820	23.234.78.127	51820	23.234.78.127	191	-
us-rag-wg-207.conf	23.234.79.2:51820	23.234.79.2	51820	23.234.79.2	191	-
us-sea-wg-001.conf	138.199.43.91:51820	138.199.43.91	51820	138.199.43.91	295	-
us-sea-wg-002.conf	138.199.43.78:51820	138.199.43.78	51820	138.199.43.78	295	-
us-sea-wg-003.conf	138.199.43.65:51820	138.199.43.65	51820	138.199.43.65	293	-
us-sea-wg-401.conf	23.234.80.2:51820	23.234.80.2	51820	23.234.80.2	293	-
us-sea-wg-402.conf	23.234.80.127:51820	23.234.80.127	51820	23.234.80.127	293	-
us-sea-wg-403.conf	23.234.81.2:51820	23.234.81.2	51820	23.234.81.2	293	-
us-sea-wg-404.conf	23.234.81.127:51820	23.234.81.127	51820	23.234.81.127	293	-
us-sea-wg-405.conf	23.234.82.2:51820	23.234.82.2	51820	23.234.82.2	293	-
us-sea-wg-406.conf	23.234.82.127:51820	23.234.82.127	51820	23.234.82.127	293	-
us-sea-wg-407.conf	23.234.83.2:51820	23.234.83.2	51820	23.234.83.2	293	-
us-sea-wg-408.conf	23.234.83.127:51820	23.234.83.127	51820	23.234.83.127	210	-
us-sjc-wg-302.conf	142.147.89.210:51820	142.147.89.210	51820	142.147.89.210	274	-
us-sjc-wg-303.conf	142.147.89.225:51820	142.147.89.225	51820	142.147.89.225	293	-
us-sjc-wg-401.conf	79.127.217.34:51820	79.127.217.34	51820	79.127.217.34	274	-
us-sjc-wg-402.conf	79.127.217.47:51820	79.127.217.47	51820	79.127.217.47	212	-
us-sjc-wg-501.conf	23.234.92.3:51820	23.234.92.3	51820	23.234.92.3	200	-
us-sjc-wg-502.conf	23.234.92.127:51820	23.234.92.127	51820	23.234.92.127	284	-
us-sjc-wg-503.conf	23.234.93.3:51820	23.234.93.3	51820	23.234.93.3	217	-
us-sjc-wg-504.conf	23.234.93.127:51820	23.234.93.127	51820	23.234.93.127	266	-
us-sjc-wg-505.conf	23.234.94.3:51820	23.234.94.3	51820	23.234.94.3	293	-
us-sjc-wg-506.conf	23.234.94.127:51820	23.234.94.127	51820	23.234.94.127	293	-
us-sjc-wg-507.conf	23.234.95.3:51820	23.234.95.3	51820	23.234.95.3	294	-
us-sjc-wg-508.conf	23.234.95.127:51820	23.234.95.127	51820	23.234.95.127	294	-
